wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q101436759,Edgar Montaño Rojas,Edgar Montaño Rojas,https://en.wikipedia.org/wiki/Edgar_Montaño,2022-01-05,Q110419037,"Minister of Public Works, Services, and Housing",2020-11-09,,Q101436759-7A84B5CA-6EBE-4C43-9867-8E9D0C4A31C6
Q101466811,Iván Lima Magne,Iván Lima Magne,https://en.wikipedia.org/wiki/Iván_Lima,2022-01-05,Q110419019,Minister of Justice and Institutional Transparency,2020-11-09,,Q101466811-AEB9A2CE-ECEC-4B2C-9EDE-78646B841F28
Q102116482,Rogelio Mayta,Rogelio Mayta,https://en.wikipedia.org/wiki/Rogelio_Mayta,2021-11-03,Q5070783,Minister of Foreign Affairs,2020-11-09,,Q102116482-D0D5EF4C-779C-4E8E-B345-9A6A496EB997
Q102304997,María Nela Prada,María Nela Prada,https://en.wikipedia.org/wiki/María_Nela_Prada,2022-01-05,Q110419013,Minister of the Presidency,2020-11-09,,Q102304997-D8604C25-5321-4508-BDE0-A5031F1134A8
Q104019011,Sabina Orellana,Sabina Orellana,https://en.wikipedia.org/wiki/Sabina_Orellana,2022-01-05,Q110419023,"Minister of Cultures, Decolonization, and Depatriarchalization",2020-11-20,,Q104019011-AEF87078-D6AC-4352-94F3-FD610324E6C7
Q104804128,Carlos del Castillo,Carlos del Castillo,https://en.wikipedia.org/wiki/Eduardo_del_Castillo,2022-01-05,Q110419015,Minister of Government,2020-11-09,,Q104804128-6E5EF479-EA3E-4623-920B-6D3454A772D7
Q104850986,Édgar Pozo Valdivia,Édgar Pozo Valdivia,https://en.wikipedia.org/wiki/Édgar_Pozo,2022-01-05,Q110419285,Minister of Health and Sports,2020-11-19,2021-01-16,Q104850986-72136007-918D-46F3-A246-FD76AE799ABC
Q104850986,Édgar Pozo Valdivia,Édgar Pozo Valdivia,https://en.wikipedia.org/wiki/Édgar_Pozo,2022-01-05,Q98966129,Minister of Health,2020-11-09,2020-11-19,Q104850986-8C2A92F8-8BF5-42CC-8F12-61AA0C37C258
Q106319757,Jeyson Auza,Jeyson Auza,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419285,Minister of Health and Sports,2021-01-16,,Q106319757-F5474C6F-D3BE-4085-BCE0-C3311E39BF65
Q106577025,Remmy Gonzáles,Remmy Gonzáles,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419022,Minister of Rural Development and Lands,2021-04-20,,Q106577025-E33FAC08-DEF2-4242-ABEC-0EC578E76CAF
