wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q106905614,Wilson Cáceres,Wilson Cáceres,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419022,Minister of Rural Development and Lands,2020-11-09,2020-12-01,Q106905614-777E8C8D-B44F-42EF-89F6-55BE79968776
Q107663000,Adrián Quelca,Adrián Quelca,https://en.wikipedia.org/wiki/Adrián_Quelca,2022-01-05,Q110419279,"Minister of Education, Sports, and Cultures",2020-11-09,2020-11-19,Q107663000-7021792A-FDFD-46E6-B40E-5D2ED053DD84
Q107663000,Adrián Quelca,Adrián Quelca,https://en.wikipedia.org/wiki/Adrián_Quelca,2022-01-05,Q110419069,Minister of Education,2020-11-19,2021-11-12,Q107663000-9ED3D459-510F-4F88-8E7E-0098EF7EA862
Q109655518,Edgar Pary,Edgar Pary,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419069,Minister of Education,2021-11-19,,Q109655518-E3D19F3F-E44E-41D4-BDCD-CE0432DE7B6A
Q110419343,Gabriela Mendoza,Gabriela Mendoza,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419057,Minister of Development Planning,2020-11-09,,Q110419343-B9532EE1-FD01-4DBF-9066-237EF874F9D1
Q110419344,Marcelo Montenegro,Marcelo Montenegro,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419018,Minister of Economy and Public Finance,2020-11-09,,Q110419344-FD7E7BF8-2A83-48D6-9329-044E0814A38C
Q110419345,Néstor Huanca Chura,Néstor Huanca Chura,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419042,Minister of Productive Development and the Plural Economy,2020-11-09,,Q110419345-57D31DEA-58B0-4559-8342-740A4AACA4D4
Q110419347,Ramiro Villavicencio,Ramiro Villavicencio,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419034,Minister of Mining and Metallurgy,2020-11-09,,Q110419347-4DD1A54C-0DA8-40BC-AA1A-94868E1C59E8
Q110419348,Verónica Navia Tejada,Verónica Navia Tejada,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419021,"Minister of Work, Employment, and Social Security",2020-11-09,,Q110419348-A88DA94A-5CB8-4591-89FE-21A8A47F7CF9
Q110419349,Juan Santos Cruz,Juan Santos Cruz,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419068,Minister of Environment and Water (Bolivia),2020-11-09,,Q110419349-34A8E606-F4E5-4657-8DBF-F63BA67ABEB3
Q110419350,Edwin Characayo,Edwin Characayo,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419022,Minister of Rural Development and Lands,2020-12-01,2021-04-14,Q110419350-9B6670D2-B4FA-4709-A6BA-BC12561626A4
Q110419351,Franklin Molina Ortiz,Franklin Molina Ortiz,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419054,Minister of Hydrocarbons,2020-11-09,2020-11-19,Q110419351-2DDD1EDB-6723-484B-A629-653DAD107918
Q110419351,Franklin Molina Ortiz,Franklin Molina Ortiz,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419308,Minister of Hydrocarbons and Energies,2020-11-19,,Q110419351-3858FCC5-C342-4B63-AD28-D8CE9C8E8FB1
Q110419351,Franklin Molina Ortiz,Franklin Molina Ortiz,https://en.wikipedia.org/wiki/Cabinet_of_Luis_Arce,,Q110419320,Minister of Energies,2020-11-12,2020-11-19,Q110419351-B1DE42FD-52C3-4B22-BF8B-B492ED042F5C
Q16149892,Luis Arce,Luis Arce,,,Q373548,president of Bolivia,2020-11-08,,Q16149892-0890ffca-46e9-ed9f-3dc2-937fcd3ff11e
Q5339974,Edmundo Novillo,Edmundo Novillo,https://en.wikipedia.org/wiki/Edmundo_Novillo,2022-01-05,Q110419027,Minister of Defense,2020-11-09,,Q5339974-57331CD6-8D8B-4F34-9B00-CFA007CB9199
Q58136,David Choquehuanca,David Choquehuanca,https://en.wikipedia.org/wiki/David_Choquehuanca,2021-11-03,Q7925039,39th Vice President of Bolivia,2020-11-08,,Q58136-64987943-C4DF-40AB-A3E2-F9D2FF1781E7
