position,person,personID,start,end
President,Hugo Banzer,Q269039,1997-08-06,2001-08-07
President,Jorge Quiroga,Q468805,2001-08-07,2002-08-06
President,Gonzalo Sánchez de Lozada,Q379645,2002-08-06,2003-10-17
President,Carlos Mesa,Q312668,2003-10-17,2005-06-09
President,Eduardo Rodríguez,Q312761,2005-06-09,2005-09-22
President,Evo Morales,Q42410,2006-01-22,2019-11-10
President,Jeanine Áñez,Q16581287,2019-11-12,2020-11-08
President,Luis Arce,Q16149892,2020-11-08,
Vice President,Jorge Quiroga,Q468805,1997-08-06,2001-08-07
Vice President,Carlos Mesa,Q312668,2002-08-06,2003-10-17
Vice President,Álvaro García Linera,Q250993,2006-01-22,2019-11-10
Vice President,David Choquehuanca,Q58136,2020-11-08,
"Minister of Cultures, Decolonization and Depatriarchalization",Sabina Orellana,Q104019011,2020-11-20,
Minister of Defence,Edmundo Novillo,Q5339974,2020-11-09,
Minister of Development Planning,Gabriela Mendoza,Q110419343,2020-11-09,
Minister of Education,Adrián Quelca,Q107663000,2020-11-19,2021-11-12
Minister of Education,Edgar Pary,Q109655518,2021-11-19,
"Minister of Education, Sports, and Cultures",Adrián Quelca,Q107663000,2020-11-09,2020-11-19
Minister of Economy and Public Finance,Marcelo Montenegro,Q110419344,2020-11-09,
Minister of Energies,Franklin Molina Ortiz,Q110419351,2020-11-12,2020-11-19
Minister of Environment and Water,Juan Santos Cruz,Q110419349,2020-11-09,
Minister of Foreign Affairs,Javier Murillo de la Rocha,Q108292413,1997,2001
Minister of Foreign Affairs,Carlos Saavedra Bruno,Q108292414,2002,2003
Minister of Foreign Affairs,Juan Ignacio Siles,Q108292415,2003,2005
Minister of Foreign Affairs,David Choquehuanca,Q58136,2006-01-22,2017-01-23
Minister of Foreign Affairs,Fernando Huanacuni Mamani,Q23907183,2017-01-23,2018-09-04
Minister of Foreign Affairs,Diego Pary Rodríguez,Q28648641,2018-09-04,2019-11-12
Minister of Foreign Affairs,Karen Longaric,Q75135095,2019-11-13,2020-11-08
Minister of Foreign Affairs,Rogelio Mayta,Q102116482,2020-11-09,
Minister of Government,Carlos del Castillo,Q104804128,2020-11-09,
Minister of Health,Lilly Gabriela Montaño Viaña,Q19545830,2019-01-23,2019-11-10
Minister of Health,María Eidy Roca Justiniano,Q96115822,2020-05-20,2020-11-09
Minister of Health,Édgar Pozo Valdivia,Q104850986,2020-11-09,2020-11-19
Minister of Health and Sports,Édgar Pozo Valdivia,Q104850986,2020-11-19,2021-01-16
Minister of Health and Sports,Jeyson Auza,Q106319757,2021-01-16,
Minister of Hydrocarbons,Víctor Hugo Zamora,Q94155142,2019-11-14,2020-11-06
Minister of Hydrocarbons,Franklin Molina Ortiz,Q110419351,2020-11-09,2020-11-19
Minister of Hydrocarbons and Energies,Franklin Molina Ortiz,Q110419351,2020-11-19,
Minister of Justice and Institutional Transparency,Iván Lima Magne,Q101466811,2020-11-09,
Minister of Mining and Metallurgy,Fernando Vásquez,Q98645854,2020-05-08,2020-05-30
Minister of Mining and Metallurgy,Ramiro Villavicencio,Q110419347,2020-11-09,
Minister of the Presidency,María Nela Prada,Q102304997,2020-11-09,
Minister of Productive Development and the Plural Economy,Néstor Huanca Chura,Q110419345,2020-11-09,
"Minister of Public Works, Services, and Housing",Edgar Montaño Rojas,Q101436759,2020-11-09,
Minister of Rural Development and Lands,Wilson Cáceres,Q106905614,2020-11-09,2020-12-01
Minister of Rural Development and Lands,Edwin Characayo,Q110419350,2020-12-01,2021-04-14
Minister of Rural Development and Lands,Remmy Gonzáles,Q106577025,2021-04-20,
"Minister of Work, Employment, and Social Security",Verónica Navia Tejada,Q110419348,2020-11-09,
President of the Senate,Lilly Gabriela Montaño Viaña,Q19545830,2012-01-22,2014-01-22
President of the Senate,Eva Copa,Q75406486,2019-11-14,2020-11-03
President of the Senate,Andrónico Rodríguez Ledezma,Q75827853,2020-11-03,
President of the Chamber of Deputies,Edmundo Novillo,Q5339974,2006-01-22,2010-01-22
President of the Chamber of Deputies,Lilly Gabriela Montaño Viaña,Q19545830,2015-01-22,2019-01-22
President of the Chamber of Deputies,Freddy Mamani Laura,Q102347129,2020-11-08,
President of the Central Bank,Pablo Ramos,Q21197635,2017-01-03,2019-12-17
President of the Central Bank,Guillermo Aponte Reyes,Q85870649,2019-12-17,2020-10-08
President of the Central Bank,Roger Edwin Rojas Ulo,Q110419438,2020,
President of the Central Bank,Agustín Saavedra Weise,Q4694699,2020-10-14,2020-11-12
ambassador to Cuba,Eduardo Pardo,Q107612406,2021-07-21,2022-02-23
ambassador to the United States of America,Jaime Aparicio Otero,Q20740576,2002,2006
