position,person,personID,start,end
President,Luis Arce,Q16149892,2020-11-08,
Vice President,David Choquehuanca,Q58136,2020-11-08,
"Minister of Cultures, Decolonization and Depatriarchalization",Sabina Orellana,Q104019011,2020-11-20,
Minister of Defence,Edmundo Novillo,Q5339974,2020-11-09,
Minister of Development Planning,Gabriela Mendoza,Q110419343,2020-11-09,
Minister of Education,Edgar Pary,Q109655518,2021-11-19,
Minister of Economy and Public Finance,Marcelo Montenegro,Q110419344,2020-11-09,
Minister of Environment and Water,Juan Santos Cruz,Q110419349,2020-11-09,
Minister of Foreign Affairs,Rogelio Mayta,Q102116482,2020-11-09,
Minister of Government,Carlos del Castillo,Q104804128,2020-11-09,
Minister of Health and Sports,Jeyson Auza,Q106319757,2021-01-16,
Minister of Hydrocarbons and Energies,Franklin Molina Ortiz,Q110419351,2020-11-19,
Minister of Justice and Institutional Transparency,Iván Lima Magne,Q101466811,2020-11-09,
Minister of Mining and Metallurgy,Ramiro Villavicencio,Q110419347,2020-11-09,
Minister of the Presidency,María Nela Prada,Q102304997,2020-11-09,
Minister of Productive Development and the Plural Economy,Néstor Huanca Chura,Q110419345,2020-11-09,
"Minister of Public Works, Services, and Housing",Edgar Montaño Rojas,Q101436759,2020-11-09,
Minister of Rural Development and Lands,Remmy Gonzáles,Q106577025,2021-04-20,
"Minister of Work, Employment, and Social Security",Verónica Navia Tejada,Q110419348,2020-11-09,
President of the Senate,Andrónico Rodríguez Ledezma,Q75827853,2020-11-03,
President of the Chamber of Deputies,Freddy Mamani Laura,Q102347129,2020-11-08,
President of the Central Bank,Roger Edwin Rojas Ulo,Q110419438,2020,
