wanted,position,positionid,from,start,end
Q76014459,Minister of Defence,Q110419027,Q5339974,2020-11-09,
Q77963524,Minister of the Presidency,Q110419013,Q102304997,2020-11-09,
Q79883909,Minister of Government,Q110419015,Q104804128,2020-11-09,
Q9095298,"Minister of Education, Sports, and Cultures",Q110419279,Q107663000,2020-11-09,2020-11-19
Q102347101,President of the Chamber of Deputies,Q104635468,Q102347129,2020-11-08,
Q98637225,Minister of Mining and Metallurgy,Q110419034,Q98645854,2020-05-08,2020-05-30
Q16581287,President of the Senate,Q56378023,Q75406486,2019-11-14,2020-11-03
Q60429187,Minister of Health,Q98966129,Q19545830,2019-01-23,2019-11-10
Q11988100,President of the Central Bank,Q110419407,Q21197635,2017-01-03,2019-12-17
Q16941997,President of the Chamber of Deputies,Q104635468,Q19545830,2015-01-22,2019-01-22
Q16301834,Senator,Q20081427,Q75406486,2015-01-18,2020-11-03
Q16624862,President of the Senate,Q56378023,Q19545830,2012-01-22,2014-01-22
Q4792780,Minister of Foreign Affairs,Q5070783,Q58136,2006-01-22,2017-01-23
