position,title
Q373548,President
Q7925039,Vice President
Q110419023,"Minister of Cultures, Decolonization and Depatriarchalization"
Q110419027,Minister of Defence
Q110419057,Minister of Development Planning
Q110419069,Minister of Education
Q110419279,"Minister of Education, Sports, and Cultures"
Q110419018,Minister of Economy and Public Finance
Q110419068,Minister of Environment and Water
Q5070783,Minister of Foreign Affairs
Q110419015,Minister of Government
Q98966129,Minister of Health
Q110419285,Minister of Health and Sports
Q110419054,Minister of Hydrocarbons
Q110419308,Minister of Hydrocarbons and Energies
Q110419019,Minister of Justice and Institutional Transparency
Q110419034,Minister of Mining and Metallurgy
Q110419013,Minister of the Presidency
Q110419042,Minister of Productive Development and the Plural Economy
Q110419037,"Minister of Public Works, Services, and Housing"
Q110419022,Minister of Rural Development and Lands
Q110419021,"Minister of Work, Employment, and Social Security"
Q56378023,President of the Senate
Q104635468,President of the Chamber of Deputies
Q110419407,President of the Central Bank
