ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q106671054,First Cabinet of José Miguel de Velasco,1828-08-12,11,,,1829-05-24,11,,,Q189779,Antonio José de Sucre,,,,,,
,Q109536375,Third Cabinet of José Miguel de Velasco,1839-03-27,11,,,1841-06-10,11,,,,,,,,,,
,Q105742752,"Government of José Luis Tejada Sorzano, 1934–36",1934-11-29,11,,,1936-05-17,11,,,,,Q105638901,"Government of David Toro, 1936–37",,,,
,Q105638901,"Government of David Toro, 1936–37",1936-05-17,11,,,1937-07-13,11,,,Q105742752,"Government of José Luis Tejada Sorzano, 1934–36",Q105424719,"Government of Germán Busch, 1937–39",,,,
,Q105424719,"Government of Germán Busch, 1937–39",1937-07-13,11,,,1939-08-23,11,,,Q105638901,"Government of David Toro, 1936–37",Q105474604,"Government of Carlos Quintanilla, 1939–40",,,,
,Q105474604,"Government of Carlos Quintanilla, 1939–40",1939-08-23,11,,,1940-04-15,11,,,Q105424719,"Government of Germán Busch, 1937–39",Q105393907,"Government of Enrique Peñaranda, 1940–43",,,,
,Q105393907,"Government of Enrique Peñaranda, 1940–43",1940-04-15,11,,,1943-12-20,11,,,Q105474604,"Government of Carlos Quintanilla, 1939–40",Q105360384,"Government of Gualberto Villarroel, 1943–46",,,,
,Q105360384,"Government of Gualberto Villarroel, 1943–46",1943-12-20,11,,,1946-07-21,11,,,Q105393907,"Government of Enrique Peñaranda, 1940–43",Q105643328,"Government of Néstor Guillén, 1946",,,,
,Q105643328,"Government of Néstor Guillén, 1946",1946-07-21,11,,,1946-08-17,11,,,Q105360384,"Government of Gualberto Villarroel, 1943–46",Q105658359,"Government of Tomás Monje, 1946–47",,,,
,Q105658359,"Government of Tomás Monje, 1946–47",1946-08-17,11,,,1947-03-10,11,,,Q105643328,"Government of Néstor Guillén, 1946",Q105676864,"Government of Enrique Hertzog, 1947–49",,,,
,Q105676864,"Government of Enrique Hertzog, 1947–49",1947-03-10,11,,,1949-05-20,11,,,Q105658359,"Government of Tomás Monje, 1946–47",Q106611285,Cabinet of Mamerto Urriolagoitía,,,,
,Q106611285,Cabinet of Mamerto Urriolagoitía,1949-05-20,11,,,1951-05-16,11,,,Q105676864,"Government of Enrique Hertzog, 1947–49",,,,,,
,Q5589229,"Government of Juan José Torres, 1970–1971",1970-10-07,11,,,1971-01-01,9,,,,,,,,,,
,Q5589220,"Government of Hugo Banzer Suárez, 1971–1978",1971-08-21,11,,,1978-01-01,9,,,,,,,,,,
,Q4436177,"Government of Juan Pereda Asbún, 1978",1978-07-21,11,,,1978-07-24,11,,,,,,,,,,
,Q4436174,"Government of David Padilla Arancibia, 1978–1979",1978-11-24,11,,,1979-01-01,9,,,,,,,,,,
,Q5589343,"Government of Wálter Guevara Arze, 1979",1979-08-09,11,,,1979-01-01,9,,,,,,,,,,
,Q5589174,"Government of Alberto Natusch Busch, 1979",1979-11-01,11,,,1979-01-01,9,,,,,,,,,,
,Q5589232,"Government of Lidia Gueiler Tejada, 1979–1980",1979-11-19,11,,,1980-01-01,9,,,,,,,,,,
,Q4436175,"Government of Luis García Meza Tejada, 1980–1981",1980-07-18,11,,,1981-01-01,9,,,,,,,,,,
,Q4436176,"Government of Celso Torrelio Villa, 1981–1982",1981-09-07,11,,,1982-01-01,9,,,,,,,,,,
,Q4436171,"Government of Guido Vildoso Calderón, 1982",1982-07-21,11,,,1982-01-01,9,,,,,,,,,,
,Q5589219,"Government of Hernán Siles Zuazo, 1982–1985",1982-10-10,11,,,1985-01-01,9,,,,,,,,,,
,Q105360229,"Government of Jorge Quiroga, 2001–02",2001-08-07,11,,,2002-08-06,11,,,,,,,,,,
,Q107394944,Cabinet of Jeanine Áñez,2019-11-13,11,,,2020-11-06,11,,,,,Q101230919,Arce Cabinet,,,,
,Q101230919,Arce Cabinet,2020-11-09,11,,,,,,,Q107394944,Cabinet of Jeanine Áñez,,,,,,
